Molecule ChEMBL ID,Molecule Name,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units
CHEMBL379008,,CCC[C@@H]1C[C@@H]2C[C@]13Cc1cc(O)ccc1C3=C(C)C2=O,IC50,'=',97.0,nM
CHEMBL3427411,,Cc1cc(F)ccc1-c1c(Cc2ccc(/C=C/C(=O)O)cc2)c2ccc(C(F)F)cc2oc1=O,IC50,'=',390.0,nM
CHEMBL3427404,,Cc1cc(F)ccc1-c1c(N(C)c2ccc(/C=C/C(=O)O)cc2)c2ccc(O)cc2oc1=O,IC50,'=',60.0,nM
CHEMBL3427414,,Cc1cc(F)ccc1-c1c(Oc2ccc(/C=C/C(=O)O)cc2)c2ccccc2oc1=O,IC50,'=',248.0,nM
CHEMBL3427415,,Cc1cc(OC(F)(F)F)ccc1-c1c(Oc2ccc(/C=C/C(=O)O)cc2)c2ccccc2oc1=O,IC50,'=',100.0,nM
CHEMBL3427394,,O=C(O)/C=C/c1ccc(Cc2c(-c3ccc(F)cc3F)c(=O)oc3cc(O)ccc23)cc1,IC50,'=',3.0,nM
CHEMBL363498,,N#Cc1cc(O)cc2cc(-c3ccc(O)cc3)oc12,IC50,'=',46.0,nM
CHEMBL379213,,COc1cc(O)c2c(=O)n(-c3ccc(O)cc3)cnc2c1,IC50,'=',25956.0,nM
CHEMBL206286,,Nc1cc(O)cc2ncn(-c3ccc(O)cc3)c(=O)c12,IC50,'=',15521.0,nM
CHEMBL185383,,O=S1(=O)CCN(CCOc2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)CC1,IC50,'=',2.0,nM
CHEMBL44,GENISTEIN,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,IC50,'=',580.0,nM
CHEMBL392029,,Oc1ccc(C2Cc3ccc(O)cc3N(CC3CC3)C2)cc1,IC50,'=',5570.0,nM
CHEMBL4462367,,CC(C)CN1[C@H](c2c(F)cc(/C=C/C(=O)O)cc2F)c2ccc3[nH]ncc3c2C[C@H]1C,IC50,'=',1.259,nM
CHEMBL4517931,,COc1cc(/C=C/C(=O)O)ccc1[C@@H]1c2ccc3[nH]ncc3c2C[C@@H](C)N1CC(C)(F)F,IC50,'=',1.0,nM
CHEMBL4541930,,CC(C)CN1[C@H](c2ccc(/C=C/C(=O)O)cc2)c2ccc3[nH]ncc3c2C[C@H]1C,IC50,'=',0.631,nM
CHEMBL304552,,Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,IC50,'=',0.8,nM
CHEMBL174502,,Cc1ccc(N2CCc3cc(O)ccc3C2(C)c2ccc(OCCN3CCCCC3)cc2)cc1,IC50,'=',28.0,nM
CHEMBL4168979,,CCCCCCCCCCNCCOc1ccc(C(CCC)(CCC)c2ccc(O)c(C)c2)cc1C,IC50,'=',4.9,nM
CHEMBL4165384,,CCCCOc1ccc(C(CCC)(CCC)c2ccc(O)c(C)c2)cc1C,IC50,'=',87.0,nM
CHEMBL4247551,,CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@]1(C)CCC/C=C\CCC[C@@](C)(C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(N)=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](CC(C)C)NC1=O,IC50,'=',390.0,nM
CHEMBL328810,,CC1(c2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc2CCN1c1ccccc1,IC50,'=',56.0,nM
CHEMBL4436707,,Cc1cc(F)cc(C)c1C(=O)c1sc2cc(O)ccc2c1Oc1ccc(OCCN2CC[C@H](CF)C2)cc1,IC50,'=',3.02,nM
CHEMBL4538085,,Cc1cc(F)ccc1C(=O)c1sc2cc(O)ccc2c1Oc1ccc(OC2CN(CCCF)C2)cc1,IC50,'=',9.333,nM
CHEMBL4526434,,OC[C@H]1CC[C@H](c2ccc(O)cc2)CC1,IC50,'=',2940.0,nM
CHEMBL4228617,,O=C(O)/C=C/C=C/c1ccc(C2=C(c3ccc(O)cc3)CCOc3cc(F)ccc32)cc1,IC50,'=',71.6,nM
CHEMBL1702774,,O=C(Oc1cccc2c(O)cccc12)c1ccccc1Cl,IC50,'=',629.0,nM
CHEMBL150279,,CN(CCCc1ccc(F)cc1)c1nc(NCCc2ccc(O)cc2)nc(N2CCNCC2)n1,IC50,'=',240.0,nM
CHEMBL4547986,,CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCNCCCCCCNC(=O)CCC2=[N+]3C(=CC4=CC=C(C)C4[B-]3(F)F)C=C2)cc1)c1ccccc1,IC50,'=',30.0,nM
CHEMBL190038,,CSC1=C(c2ccc(O)cc2)C(=O)c2cc(O)cc(O)c21,IC50,'=',2.0,nM
CHEMBL411,DIETHYLSTILBESTROL,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,IC50,'=',0.915,nM
CHEMBL205934,,Cc1c(O)cc(C)c2c1oc(=O)c1c(C)c(O)ccc12,IC50,'=',785.0,nM
CHEMBL206226,,Cc1c(O)ccc2c1c(=O)oc1cc(O)ccc12,IC50,'=',1170.0,nM
CHEMBL204222,,C=CCc1cc(C)cc2c(=O)oc3c(C)c(O)ccc3c12,IC50,'=',10000.0,nM
CHEMBL1548616,,Cc1[nH]c2ccc(-c3nnc(SCC(=O)c4ccccc4F)o3)cc2c1C,IC50,'=',26017.24,nM
CHEMBL1613068,,Brc1ccc(-c2nnc(-c3cccnc3)c3conc23)cc1,IC50,'=',6621.2,nM
CHEMBL3199523,,Cc1cc(C)c(S(=O)(=O)/N=C2\C=CC(=O)C(Cl)=C2)c(C)c1,IC50,'=',10284.76,nM
CHEMBL1472407,,Cc1nc2cccc(C(=O)NCc3ccccc3)c2o1,IC50,'=',48418.83,nM
CHEMBL1381495,,CCOP(=O)(OCC)C1(NS(=O)(=O)c2ccccc2)C=C(Cl)C(=O)c2ccccc21,IC50,'=',12589.04,nM
CHEMBL1577661,,CC(C)CN(C(=O)COC(=O)c1cc2c(s1)CCC2)C1CCS(=O)(=O)C1,IC50,'=',2947.59,nM
CHEMBL1580991,,CCN1CCc2nc(NC(=O)Cc3ccc4c(c3)OCCO4)sc2C1,IC50,'=',28777.64,nM
CHEMBL1572403,,COc1ccc(OCCC(=O)OCC(=O)NCc2ccco2)cc1,IC50,'=',33316.3,nM
CHEMBL1606765,,CC1CC(C(F)(F)C(F)(F)F)n2nc(C(=O)O)cc2N1,IC50,'=',19923.73,nM
CHEMBL1505283,,O=S(=O)(NCCc1csc(-c2cccnc2)n1)c1ccc(Cl)s1,IC50,'=',19220.8,nM
CHEMBL577938,,N#Cc1c(-c2ccccc2)cc(-c2ccco2)c(C#N)c1N,IC50,'=',33450.51,nM
CHEMBL3208556,,Cc1ccc(-c2nnc(S)n2/N=C/C=C\c2ccccc2[N+](=O)[O-])cc1,IC50,'=',7316.61,nM
CHEMBL1337826,,CN(C)CC(=O)N1c2ccccc2CCc2ccc(NC(=O)c3ccc(N)cc3)cc21.Cl,IC50,'=',15578.84,nM
CHEMBL3214324,,CN(/N=C/c1cccnc1)c1cnn(-c2ccc(F)c(Cl)c2)c(=O)c1Cl,IC50,'=',17867.63,nM
CHEMBL74758,,CCC1Oc2cc(O)ccc2N=C1c1ccc(O)cc1,IC50,'=',850.0,nM
CHEMBL281499,,Oc1ccc(C2=Cc3cc(O)ccc3C23Cc2ccccc2C3)cc1,IC50,'=',4.3,nM
CHEMBL316080,,Oc1ccc2c(c1)CCN(c1ccccc1)C2c1ccc(OCCN2CCCC2)cc1,IC50,'=',11.5,nM
CHEMBL316119,,Oc1ccc([C@@H]2Sc3cc(O)c(F)cc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,IC50,'=',13.5,nM
CHEMBL3623000,,C[C@@H](CO)CN1[C@H](c2ccc(/C=C/C(=O)O)cc2)c2[nH]c3ccccc3c2C[C@H]1C,IC50,'=',45.71,nM
CHEMBL3622999,,C[C@H](CO)CN1[C@H](c2ccc(/C=C/C(=O)O)cc2)c2[nH]c3ccccc3c2C[C@H]1C,IC50,'=',46.77,nM
CHEMBL187219,,Oc1ccc2c(-c3ccc4c(O)cccc4c3)noc2c1,IC50,'=',24.0,nM
CHEMBL1784258,TEPHROCANDIDIN A,COc1cc(O)c(/C=C\C(C)(C)O)c2c1C(=O)C[C@@H](c1ccccc1)O2,IC50,'=',3500000.0,nM
CHEMBL441366,,CCCC[C@@]12CCC(=O)C(CC)=C1c1ccc3[nH]nnc3c1C2,IC50,'=',220.0,nM
CHEMBL213529,,CCCC12CCC(=O)C(CC)=C1c1ccc3[nH]nnc3c1C2,IC50,'=',612.0,nM
CHEMBL1628199,,CCCCN(C)C(=O)CCCCCCCCCCS[C@@H]1C(=O)c2cc(O)ccc2[C@H]2CC[C@]3(C)[C@@H](O)CC[C@H]3[C@H]12,IC50,'=',33.0,nM
CHEMBL370039,,O=C(Cc1cc2ccccc2o1)c1ccc(O)cc1O,IC50,'=',85700.0,nM
CHEMBL214972,,O=C1CCC2(Cc3ccccc3)Cc3cc(O)ccc3C2=C1c1ccc(O)cc1,IC50,'=',29.0,nM
CHEMBL211953,,CCC1=C2c3ccc4[nH]ncc4c3CC2(CC)CCC1=O,IC50,'=',223.0,nM
CHEMBL380032,,CCCC12CCC(=O)C(Br)=C1c1ccc3[nH]ncc3c1C2,IC50,'=',663.0,nM
CHEMBL377644,,CCCC[C@@]12CCC(=O)C(C(F)(F)F)=C1c1ccc3[nH]ncc3c1C2,IC50,'=',176.0,nM
CHEMBL378675,,CCCCC12CCC(=O)C(c3ccco3)=C1c1ccc(O)cc1C2,IC50,'=',196.0,nM
CHEMBL209402,,CCCCC12CCC(=O)C(CCC)=C1c1ccc(O)cc1C2,IC50,'=',30.0,nM
CHEMBL440283,ANDROSTENEDIOL,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,IC50,'=',210.0,nM
CHEMBL211358,,CC1=C2c3ccc4[nH]ncc4c3CC2(Cc2ccccc2F)CCC1=O,IC50,'=',3400.0,nM
CHEMBL4169627,,CC1=C(c2cccc(O)c2)C(c2ccc(OCCN3CCCC3)cc2)Oc2ccc(O)cc21,IC50,'=',0.4,nM
CHEMBL191974,,Oc1ccc(-c2ccc3cc(O)ccc3c2)cc1,IC50,'=',211.0,nM
CHEMBL198680,,CCc1cc(-c2ccc(O)c(F)c2)nc2ccc(O)cc12,IC50,'=',1750.0,nM
CHEMBL4168602,,c1ccc(Cn2c(-c3nc4ccccc4[nH]3)cc3ccccc32)cc1,IC50,'=',259.16,nM
CHEMBL511971,,Oc1ccc(C2=C(c3ccc(OCCN4CCCCC4)cc3)c3ccc(F)cc3OCC2)cc1,IC50,'=',6.5,nM
CHEMBL187663,,CC(C)c1cc(O)cc2nc(-c3ccc(O)cc3)oc12,IC50,'=',1200.0,nM
