Molecule ChEMBL ID,Molecule Name,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units
CHEMBL3893186,,Nc1ncc(C2CNC(=O)C2)cc1-c1ccc(C(=O)NCc2ccccc2)c(F)c1,IC50,'=',330.0,nM
CHEMBL4110629,,C[C@@H](NC(=O)c1ccc(-c2nc([C@H]3CC[C@H](O)CC3)cnc2N)cc1F)c1cc(F)cc(S(C)(=O)=O)c1,IC50,'=',0.853,nM
CHEMBL3654701,,COCCN(Cc1cccnc1)C(=O)Nc1cc2[nH]nc(-c3ccnc(C)c3)c2cn1,IC50,'=',899.1,nM
CHEMBL3604856,,O=c1cc(N2CCc3[nH]nc(-c4ccncc4)c3C2)cc[nH]1,IC50,'=',5.0,nM
CHEMBL3590108,,COc1cc(O)c2c(c1)/C=C/C[C@H](O)[C@@H](O)C(=O)/C=C/C[C@H](C)OC2=O,IC50,'=',1600.0,nM
CHEMBL445178,,NC(=O)c1cc2c(-c3cccc(-c4ccccc4)c3)cnc(N)c2s1,IC50,'=',4300.0,nM
CHEMBL3608590,,CC(C)Nc1nccc(-c2cc3n(c2)CCN(Cc2ccccc2)C3=O)n1,IC50,'=',76.0,nM
CHEMBL3608460,,O=C1c2cc(-c3ccnc(N[C@H]4CC[C@@H](O)C4)n3)cn2CCCN1[C@H](CO)c1ccccc1,IC50,'=',278.0,nM
CHEMBL3318029,,Cn1cc(-c2cnc3ccc(NC(=O)NCc4ccccc4)nc3c2)cn1,IC50,'=',30.0,nM
CHEMBL3318023,,CCNC(=O)Nc1ccc2ncc(-c3ccc(OC)cc3)cc2n1,IC50,'=',1130.0,nM
CHEMBL2312646,,CN1CCC(NC(=O)c2cnc(NCc3cc(Cl)ccc3Cl)nc2NC2CCCC2)CC1,IC50,'=',30000.0,nM
CHEMBL2420911,,c1nc(N2CCC3(CCCNC3)CC2)c2nc[nH]c2n1,IC50,'=',38000.0,nM
CHEMBL3968650,,COc1ccc([C@H](NC(=O)c2cc(F)c3cnc(Nc4ccnn4C)nc3c2)c2nccn2C)cc1F,IC50,'=',8.5,nM
CHEMBL4111837,,O=C(N[C@H](c1ccc(F)c(Cl)c1)[C@@]1(F)CCNC1)c1ccc2cnc(NC3CCOCC3)nc2c1,IC50,'=',73.6,nM
CHEMBL3964791,,COc1ccc([C@H](NC(=O)c2ccc3cnc(Nc4ccnn4C)nc3c2)c2cnn(C)c2)cc1F,IC50,'=',2.1,nM
CHEMBL3979797,,COc1ccc([C@H](NC(=O)c2ccc3cnc(N[C@H]4CCOC[C@@H]4F)nc3c2)c2ccnn2C)cc1F,IC50,'=',3.6,nM
