Molecule ChEMBL ID,Molecule Name,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units
CHEMBL345211,,Cn1c(SSc2c(C(=O)NCC(=O)O)c3ccccc3n2C)c(C(=O)NCC(=O)O)c2ccccc21,IC50,'=',1000.0,nM
CHEMBL300321,,CNS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3ccccc3c1CCCN(C)C)C(=O)N2,IC50,'=',200.0,nM
CHEMBL295601,,COc1cc(-c2nn([C@H]3CC[C@H](N4CCN(C)CC4)CC3)c3ncnc(N)c23)ccc1NC(=O)CCc1ccccc1,IC50,'=',155.0,nM
CHEMBL69827,,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CC(O)C(O)C1,IC50,'=',84.0,nM
CHEMBL266154,,Oc1cc2c3cc(O)c(O)cc3n(Cc3cccnc3)c2cc1O,IC50,'=',8000.0,nM
CHEMBL325949,,Nc1cccc(-c2cc(=O)c3c(N)c(O)c(N)cc3o2)c1,IC50,'=',38400.0,nM
CHEMBL3623290,AZD-3759,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1OC(=O)N1CCN(C)C[C@H]1C,IC50,'=',622.0,nM
CHEMBL444037,,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@H]1CCCCN(Cc2ccc(-c3cccc4ccccc34)cc2)C1=O,IC50,'=',143.0,nM
CHEMBL66294,,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@H]1CSCCN(Cc2ccc3c(c2Cl)OCO3)C1=O,IC50,'=',1200.0,nM
CHEMBL304808,,N#Cc1ccc(Cn2c3cc(O)c(O)cc3c3c(Br)cc(O)c(O)c32)cc1,IC50,'=',900.0,nM
CHEMBL6246,ELLAGIC ACID,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,IC50,'=',800.0,nM
CHEMBL168921,,CC(C)(C)OC(=O)N1CCC(n2cc(-c3cccc(O)c3)c3c(N)ncnc32)C1,IC50,'=',5.0,nM
CHEMBL352619,,COc1ccc(-c2cn(C3CCN(C(=O)OC(C)(C)C)C3)c3ncnc(N)c23)cc1,IC50,'=',400.0,nM
CHEMBL168462,,Nc1ncnc2c1c(-c1ccc(O)cc1)cn2[C@H]1CN[C@@H](CO)C1,IC50,'=',50.0,nM
CHEMBL25826,PARATOULENE PHOSPHATE,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@H]1CCCCN(Cc2ccc(-c3ccccc3)cc2)C1=O,IC50,'=',9.0,nM
CHEMBL348554,,CN(C)CCNC(=O)c1c(SSc2c(C(=O)NCCN(C)C)c3ccccc3n2C)n(C)c2ccccc12,IC50,'=',15200.0,nM
CHEMBL345862,,Cn1c(SSc2c(C(=O)Nc3ccccc3C(=O)O)c3ccccc3n2C)c(C(=O)Nc2ccccc2C(=O)O)c2ccccc21,IC50,'=',3500.0,nM
CHEMBL3651257,,Cc1cc2nc(Nc3ccc(OCCN4CCCC4)cc3)nnc2cc1-c1cc(O)ccc1Cl,IC50,'=',4.2,nM
CHEMBL230686,,Cc1cc(-c2c(Cl)cccc2Cl)cc2nnc(Nc3ccc(OCCN4CCCC4)cc3)nc12,IC50,'=',9.4,nM
CHEMBL3651217,,Cc1cc2nc(Nc3ccc(OCCN4CCCC4)cc3)nnc2cc1-c1cccc(O)c1,IC50,'=',17.7,nM
CHEMBL214329,,CN1CCN(c2ccc(Nc3ncc4ccn(C5CCCCC5)c4n3)cc2)CC1,IC50,'=',710.0,nM
CHEMBL1076466,,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Nc1nc2ccccc2n1-c1cc(NCCCCN)ncn1,IC50,'=',1661.0,nM
CHEMBL1076197,,Cc1cccc(NC(=O)c2ccc(C)c(Nc3nc4ccccc4n3-c3cc(NCCCN4CCN(C)CC4)ncn3)c2)c1,IC50,'=',1409.0,nM
CHEMBL419353,,C[C@H](NC(=O)CCc1ccc(OP(=O)(O)O)cc1)c1nc(Cc2ccc(Cl)c(Cl)c2)no1,IC50,'=',459000.0,nM
CHEMBL56645,,CNS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c(C)c(C)c1CCCN(C)C)C(=O)N2,IC50,'=',1000.0,nM
CHEMBL168862,,COc1cc2ncc(C#N)c(Nc3c(Cl)cccc3Cl)c2cc1OC,IC50,'=',61.0,nM
CHEMBL1683292,,CCCCc1cn(CCn2nc(-c3ccccc3)c3c(N)ncnc32)nn1,IC50,'>',75000.0,nM
CHEMBL336174,,NC(Cc1c(SSc2[nH]c3ccccc3c2CC(N)C(=O)NCc2ccccc2)[nH]c2ccccc12)C(=O)NCc1ccccc1,IC50,'=',600.0,nM
CHEMBL287555,,Cc1cccc(OP(=O)(O)O)c1,IC50,'=',4000000.0,nM
