Molecule ChEMBL ID,Molecule Name,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units
CHEMBL1605293,,CC(=O)Nc1ccc(-c2csc(Nc3ccc(Cl)cn3)n2)cc1,IC50,'=',6337.0,nM
CHEMBL1520051,,Cc1cccc(C)c1NC(=O)N1CCN(c2nc3ccccc3s2)CC1,IC50,'=',4479.0,nM
CHEMBL222863,OUABAIN,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O,IC50,'=',1154.0,nM
CHEMBL1463780,,COc1ccc(C)cc1-n1nnnc1SCn1nnc2ccccc2c1=O,IC50,'=',7584.0,nM
CHEMBL1442663,,O=C(Nc1nc(-c2ccc(Cl)s2)cs1)c1ccncc1,IC50,'=',4010.0,nM
CHEMBL1482965,,O=C(Nc1ccncc1)c1ccc2c(c1)C(=O)N(C1CCCCC1)C2=O,IC50,'=',2416.0,nM
CHEMBL1338375,,COc1ccc(-c2nn(C)c(=O)c3ccccc23)cc1NC(=O)COc1ccc(C)cc1,IC50,'=',5060.0,nM
CHEMBL1428891,,O=C(Nc1ccc(N2CCOCC2)nc1)c1ccc(C(F)(F)F)cc1,IC50,'=',3401.0,nM
CHEMBL1309874,,Cc1cc(C)n(Cc2ccc(NC(=O)c3ccc(COc4ccccc4Br)cc3)cc2)n1,IC50,'=',7640.0,nM
CHEMBL1510582,,Cc1ccc(Cl)cc1N1CCN(C(=O)COc2ccc(S(=O)(=O)NC(C)C)cc2)CC1,IC50,'=',7799.0,nM
CHEMBL371871,,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](CC1CCCCC1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(N)=O)[C@@H](C)O,IC50,'=',910.0,nM
CHEMBL44,GENISTEIN,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,IC50,'=',24800.0,nM
CHEMBL1081584,LOGANIN,COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2[C@@H](C)[C@@H](O)C[C@H]12,IC50,'=',14000.0,nM
CHEMBL436319,,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N1C[C@H]2C[C@H]2[C@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(N)=O)[C@@H](C)O,IC50,'=',265.0,nM
CHEMBL505207,,NC(=O)CC[C@H](NC(=O)[C@@H]1CC[C@H]2CC[C@H](NC(=O)/C=C/c3ccc(OP(=O)(O)O)cc3)C(=O)N21)C(=O)NCc1ccccc1,IC50,'=',45700.0,nM
CHEMBL436479,,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N1CCC(CC(N)=O)C1,IC50,'=',1690.0,nM
CHEMBL234465,,CC(C)CNC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC(=O)c1ccc(C#N)cc1,IC50,'=',74000.0,nM
CHEMBL1492655,,O=c1c2c(nc3n1CCCCC3)sc1c(O)cccc12,IC50,'=',7419.0,nM
CHEMBL1366712,,O=C(Nc1cccc(O)c1)c1noc2c1CCc1ccccc1-2,IC50,'=',3554.0,nM
CHEMBL4746874,,O=C(Nc1ncc([N+](=O)[O-])s1)c1cccc(Cl)c1,IC50,'=',3000.0,nM
CHEMBL502473,,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(=O)N[C@H](C(N)=O)C(C)C)[C@H](C)O,IC50,'=',290.0,nM
CHEMBL4740393,,C=CCn1c(SCC(=O)Nc2ccc(/C(C)=N\O)cc2)nnc1-c1cc(-c2ccc(Cl)cc2)nc2ccccc12,IC50,'=',7900.0,nM
CHEMBL574844,,CC(C)C[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(C)C)NC(=O)/C=C/c1ccc(OP(=O)(O)O)cc1,IC50,'=',4900.0,nM
CHEMBL573903,,CC(C)C[C@H](NC(=O)/C=C/c1ccc(OP(=O)(O)O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)Cc1ccc(O)cc1,IC50,'=',848.0,nM
CHEMBL584376,,CC(C)C[C@H](NC(=O)/C=C/c1ccc(OP(=O)(O)O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)COC(N)=O,IC50,'=',797.0,nM
CHEMBL575497,,CC(C)C[C@H](NC(=O)/C=C/c1ccc(OP(=O)(O)O)cc1)C(=O)N1C[C@H]2C[C@H]2[C@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)NCc1ccccc1,IC50,'=',68.0,nM
CHEMBL1314042,,COc1ccccc1-c1cc(C(F)(F)F)nc(S(=O)(=O)CCCC(=O)N2CCOCC2)n1,IC50,'=',30880.0,nM
CHEMBL3827771,,CC1Sc2nnc(-c3cc(-c4ccc(F)cc4)n[nH]3)n2N=C1c1ccccc1,IC50,'=',3800.0,nM
CHEMBL3828160,,COc1ccc(C2=Nn3c(nnc3-c3cc(-c4ccc(Cl)cc4)n[nH]3)SC2C)cc1,IC50,'=',5720.0,nM
CHEMBL1468211,,O=C1C2C3c4ccccc4C(c4ccccc43)[C@@H]2c2nc3ccccc3n21,IC50,'=',4511.0,nM
CHEMBL1350141,,CCOC(=O)c1oc2ccc(S(=O)(=O)Nc3ccc4c(c3)n(C)c(=O)n4C)cc2c1C,IC50,'=',5038.0,nM
CHEMBL1489401,,O=C(C1CCN(c2nc3ccc(Br)cc3s2)CC1)N1CCC2(CC1)OCCO2,IC50,'=',2793.0,nM
CHEMBL1380192,,CSc1ccc(NC(=O)N2CCN(c3nc4ccccc4s3)CC2)cc1,IC50,'=',5965.0,nM
CHEMBL1459062,,O=C1C2C3c4ccccc4C(c4ccccc43)C2c2nc3ccccc3n21,IC50,'=',3228.0,nM
CHEMBL1596496,,c1ccc(C(Cc2nc(-c3ccncc3)no2)c2ccccc2)cc1,IC50,'=',5051.0,nM
CHEMBL1608301,,Cc1cccc(-c2nc3cc(NC(=O)C4CCCO4)ccc3o2)c1,IC50,'=',6319.0,nM
CHEMBL395165,,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(=O)N[C@H](C(=O)O)C(C)C)[C@@H](C)O,IC50,'=',9000.0,nM
CHEMBL2062865,,C/C=C(\C)C(=O)O[C@H]1C[C@@H](C)[C@]2(O)CC[C@](C)(/C=C3/OC(=O)C(COC(C)=O)=C31)O2,IC50,'=',2200.0,nM
CHEMBL197719,,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N1CCN(CC(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(N)=O)[C@@H](C)O)CC1,IC50,'=',57100.0,nM
CHEMBL366244,,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N1CCCC(C(N)=O)C1,IC50,'=',11800.0,nM
CHEMBL1304647,,Cc1cccc(/C=C(\c2nc3ccccc3[nH]2)S(=O)(=O)c2ccccc2)c1,IC50,'=',20310.0,nM
