Names	total	elements
		CHEMBL3628808
		CHEMBL168656
		CHEMBL55592
		CHEMBL428647
		CHEMBL552859
		CHEMBL4755698
		CHEMBL111339
		CHEMBL418270
		CHEMBL3604938
		CHEMBL160207
		CHEMBL1242117
		CHEMBL346770
		CHEMBL114814
		CHEMBL1241270
		CHEMBL1241775
		CHEMBL335931
		CHEMBL1241945
		CHEMBL118258
		CHEMBL349762
		CHEMBL6976
		CHEMBL347256
		CHEMBL336174
		CHEMBL366831
		CHEMBL313821
		CHEMBL348069
		CHEMBL315753
		CHEMBL364623
		CHEMBL5267342
		CHEMBL348116
		CHEMBL332906
		CHEMBL175409
		CHEMBL29197
		CHEMBL268868
		CHEMBL7600
		CHEMBL3967980
		CHEMBL1242757
		CHEMBL939
		CHEMBL307026
		CHEMBL75177
		CHEMBL57581
		CHEMBL120979
		CHEMBL352010
		CHEMBL307062
		CHEMBL3958173
		CHEMBL5208454
		CHEMBL489058
		CHEMBL1242666
		CHEMBL1242114
		CHEMBL57347
		CHEMBL56669
		CHEMBL353823
		CHEMBL1240545
		CHEMBL104067
		CHEMBL3808884
		CHEMBL460702
		CHEMBL598797
		CHEMBL310580
		CHEMBL4475243
		CHEMBL122182
		CHEMBL602890
		CHEMBL57690
		CHEMBL1614725
		CHEMBL1171837
		CHEMBL474544
		CHEMBL168829
		CHEMBL174634
		CHEMBL314995
		CHEMBL4791249
		CHEMBL299026
		CHEMBL20926
		CHEMBL327300
		CHEMBL3263640
		CHEMBL293986
		CHEMBL599388
		CHEMBL4560385
		CHEMBL7819
		CHEMBL544770
		CHEMBL1242468
		CHEMBL514941
		CHEMBL258726
		CHEMBL5278149
		CHEMBL574059
		CHEMBL1088240
		CHEMBL63455
		CHEMBL1242384
		CHEMBL1242471
		CHEMBL155607
		CHEMBL345641
		CHEMBL4548556
		CHEMBL173478
		CHEMBL338155
		CHEMBL1254007
		CHEMBL1242287
		CHEMBL4446992
		CHEMBL552860
		CHEMBL1241299
		CHEMBL1241684
		CHEMBL4587811
		CHEMBL59036
		CHEMBL67
		CHEMBL7939
		CHEMBL168661
		CHEMBL129946
		CHEMBL116051
		CHEMBL1242294
		CHEMBL55379
		CHEMBL66031
		CHEMBL3647967
		CHEMBL4520801
		CHEMBL119982
		CHEMBL329244
		CHEMBL267019
		CHEMBL432941
		CHEMBL153843
		CHEMBL260861
		CHEMBL266255
		CHEMBL79808
		CHEMBL156281
		CHEMBL4525187
		CHEMBL474543
		CHEMBL88462
		CHEMBL56236
		CHEMBL4446835
		CHEMBL516640
		CHEMBL332333
		CHEMBL1242109
		CHEMBL48172
		CHEMBL4457733
		CHEMBL1242376
		CHEMBL293261
		CHEMBL1257911
		CHEMBL56904
		CHEMBL1421
		CHEMBL118904
		CHEMBL3809489
		CHEMBL3707348
		CHEMBL401896
		CHEMBL333038
		CHEMBL355191
		CHEMBL122411
		CHEMBL93262
		CHEMBL1233881
		CHEMBL477197
		CHEMBL3297954
		CHEMBL288441
		CHEMBL112925
		CHEMBL1242032
		CHEMBL262276
		CHEMBL49596
		CHEMBL355322
		CHEMBL1242026
		CHEMBL267941
		CHEMBL6246
		CHEMBL332882
		CHEMBL3358966
		CHEMBL169780
		CHEMBL1241301
		CHEMBL495617
		CHEMBL1242753
		CHEMBL2070081
		CHEMBL436817
		CHEMBL1242286
		CHEMBL1241677
		CHEMBL217090
		CHEMBL50
		CHEMBL8095
		CHEMBL422531
		CHEMBL1242750
		CHEMBL57366
		CHEMBL293889
		CHEMBL491686
		CHEMBL474347
		CHEMBL1242566
		CHEMBL112421
		CHEMBL492251
		CHEMBL3798011
		CHEMBL1242111
		CHEMBL1242118
		CHEMBL4559065
		CHEMBL7735
		CHEMBL21078
		CHEMBL514016
		CHEMBL2070045
		CHEMBL3125890
		CHEMBL1242758
		CHEMBL47940
		CHEMBL3040861
		CHEMBL321193
		CHEMBL515598
		CHEMBL4448494
		CHEMBL475584
		CHEMBL2441273
		CHEMBL418279
		CHEMBL156555
		CHEMBL156797
		CHEMBL1242029
		CHEMBL91815
		CHEMBL3604924
		CHEMBL432738
		CHEMBL5073622
		CHEMBL292287
		CHEMBL1242844
		CHEMBL115397
		CHEMBL1242380
		CHEMBL1241580
		CHEMBL166766
		CHEMBL8223
		CHEMBL114578
		CHEMBL64459
		CHEMBL1242659
		CHEMBL7917
		CHEMBL351920
		CHEMBL436137
		CHEMBL1242572
		CHEMBL59812
		CHEMBL5175977
		CHEMBL502835
		CHEMBL2070051
		CHEMBL3288526
		CHEMBL7572
		CHEMBL1813632
		CHEMBL330351
		CHEMBL101683
		CHEMBL157021
		CHEMBL1242663
		CHEMBL1232944
		CHEMBL1642294
		CHEMBL423288
		CHEMBL122243
		CHEMBL369014
		CHEMBL1221700
		CHEMBL299707
		CHEMBL121954
		CHEMBL45827
		CHEMBL230232
		CHEMBL2064383
		CHEMBL1779202
		CHEMBL1081198
		CHEMBL419682
		CHEMBL2070075
		CHEMBL1230790
		CHEMBL4069365
		CHEMBL1242475
		CHEMBL1242656
		CHEMBL601719
		CHEMBL169920
		CHEMBL1241675
		CHEMBL4470236
		CHEMBL176702
		CHEMBL337027
		CHEMBL1241484
		CHEMBL1242203
		CHEMBL445162
		CHEMBL2105717
		CHEMBL473557
		CHEMBL377734
		CHEMBL176815
		CHEMBL1241776
		CHEMBL1241588
		CHEMBL1242749
		CHEMBL1242470
		CHEMBL155293
		CHEMBL330657
		CHEMBL3297958
		CHEMBL106232
		CHEMBL3040806
		CHEMBL86531
		CHEMBL306315
		CHEMBL293991
		CHEMBL540292
		CHEMBL941
		CHEMBL2048912
		CHEMBL172514
		CHEMBL169200
		CHEMBL574058
		CHEMBL92339
		CHEMBL4290371
		CHEMBL1241579
		CHEMBL4447225
		CHEMBL514942
		CHEMBL355019
		CHEMBL1241300
		CHEMBL3759079
		CHEMBL440453
		CHEMBL348554
		CHEMBL4074262
		CHEMBL543361
		CHEMBL1242031
		CHEMBL347659
		CHEMBL169757
		CHEMBL313500
		CHEMBL1241858
		CHEMBL291963
		CHEMBL294205
		CHEMBL325949
		CHEMBL1241773
		CHEMBL189584
		CHEMBL1241390
		CHEMBL544067
		CHEMBL1240544
		CHEMBL1242657
		CHEMBL1241950
		CHEMBL1241680
		CHEMBL4095253
		CHEMBL518803
		CHEMBL20426
		CHEMBL74722
		CHEMBL64165
		CHEMBL1242115
		CHEMBL10
		CHEMBL3357634
		CHEMBL113070
		CHEMBL1242754
		CHEMBL535
		CHEMBL328029
		CHEMBL7827
		CHEMBL1241681
		CHEMBL522785
		CHEMBL1240565
		CHEMBL1242472
		CHEMBL79704
		CHEMBL120185
		CHEMBL355330
		CHEMBL453336
		CHEMBL435054
		CHEMBL154822
		CHEMBL1242200
		CHEMBL1949789
		CHEMBL169519
		CHEMBL26001
		CHEMBL1242469
		CHEMBL2111784
		CHEMBL1242852
		CHEMBL1242027
		CHEMBL171545
		CHEMBL600795
		CHEMBL2086760
		CHEMBL332765
		CHEMBL1242845
		CHEMBL4556666
		CHEMBL3628807
		CHEMBL114568
		CHEMBL1241678
		CHEMBL293251
		CHEMBL20252
		CHEMBL1241863
		CHEMBL56359
		CHEMBL541307
		CHEMBL291359
		CHEMBL160566
		CHEMBL346553
		CHEMBL4068255
		CHEMBL176309
		CHEMBL75049
		CHEMBL3628799
		CHEMBL431996
		CHEMBL64068
		CHEMBL3604937
		CHEMBL2105712
		CHEMBL334026
		CHEMBL1242293
		CHEMBL346716
		CHEMBL429057
		CHEMBL1241582
		CHEMBL120319
		CHEMBL4475004
		CHEMBL162622
		CHEMBL352954
		CHEMBL1241771
		CHEMBL300817
		CHEMBL1242574
		CHEMBL4572913
		CHEMBL304414
		CHEMBL1241492
		CHEMBL63009
		CHEMBL462162
		CHEMBL162034
		CHEMBL574613
		CHEMBL3623290
		CHEMBL360190
		CHEMBL349322
		CHEMBL1957190
		CHEMBL2442124
		CHEMBL1241581
		CHEMBL1916897
		CHEMBL3335244
		CHEMBL1242847
		CHEMBL128000
		CHEMBL373882
		CHEMBL246356
		CHEMBL56081
		CHEMBL89363
		CHEMBL1240554
		CHEMBL157807
		CHEMBL1242386
		CHEMBL542891
		CHEMBL122068
		CHEMBL475817
		CHEMBL1762110
		CHEMBL1241770
		CHEMBL199299
		CHEMBL4456974
		CHEMBL1242034
		CHEMBL1242569
		CHEMBL292323
		CHEMBL173453
		CHEMBL428690
		CHEMBL2419762
		CHEMBL121405
		CHEMBL345203
		CHEMBL3109738
		CHEMBL21162
		CHEMBL1242119
		CHEMBL345862
		CHEMBL462338
		CHEMBL1241947
		CHEMBL474346
		CHEMBL293913
		CHEMBL92729
		CHEMBL141247
		CHEMBL391738
		CHEMBL1241487
		CHEMBL4163321
		CHEMBL55662
		CHEMBL247228
		CHEMBL1241676
		CHEMBL337026
		CHEMBL1241483
		CHEMBL116353
		CHEMBL4091628
		CHEMBL266969
		CHEMBL104153
		CHEMBL64814
		CHEMBL1242379
		CHEMBL281957
		CHEMBL3740487
		CHEMBL2148053
		CHEMBL406845
		CHEMBL123189
		CHEMBL3604910
		CHEMBL424375
		CHEMBL168921
		CHEMBL1242289
		CHEMBL1241767
		CHEMBL158275
		CHEMBL301483
		CHEMBL1241586
		CHEMBL96633
		CHEMBL2070050
		CHEMBL166765
		CHEMBL501709
		CHEMBL5281283
		CHEMBL3297957
		CHEMBL72393
		CHEMBL319894
		CHEMBL102346
		CHEMBL169064
		CHEMBL472946
		CHEMBL89010
		CHEMBL534948
		CHEMBL468975
		CHEMBL332971
		CHEMBL263528
		CHEMBL4876497
		CHEMBL253292
		CHEMBL345622
		CHEMBL1241860
		CHEMBL1242660
		CHEMBL460746
		CHEMBL523122
		CHEMBL489083
		CHEMBL1242476
		CHEMBL450786
EGFR STAT3	2	CHEMBL116438
		CHEMBL168
ESR1 STAT3	4	CHEMBL1390963
		CHEMBL1362841
		CHEMBL1481853
		CHEMBL1498999
MAPK1 SRC	37	CHEMBL468125
		CHEMBL383264
		CHEMBL511410
		CHEMBL438485
		CHEMBL1080995
		CHEMBL1095627
		CHEMBL4251324
		CHEMBL1092754
		CHEMBL467079
		CHEMBL2436978
		CHEMBL119385
		CHEMBL395080
		CHEMBL481248
		CHEMBL2420911
		CHEMBL207544
		CHEMBL1091356
		CHEMBL242753
		CHEMBL606245
		CHEMBL361708
		CHEMBL3355482
		CHEMBL378963
		CHEMBL210390
		CHEMBL1087650
		CHEMBL2420909
		CHEMBL4094562
		CHEMBL561708
		CHEMBL519113
		CHEMBL591325
		CHEMBL296586
		CHEMBL477817
		CHEMBL1095626
		CHEMBL1080994
		CHEMBL1089082
		CHEMBL1163016
		CHEMBL3883384
		CHEMBL383541
		CHEMBL466496
EGFR	8734	CHEMBL3221542
		CHEMBL27685
		CHEMBL1958021
		CHEMBL3360611
		CHEMBL5268867
		CHEMBL1907764
		CHEMBL3937857
		CHEMBL208594
		CHEMBL4793944
		CHEMBL3671568
		CHEMBL490266
		CHEMBL2048789
		CHEMBL1087440
		CHEMBL3237934
		CHEMBL354757
		CHEMBL300083
		CHEMBL3937527
		CHEMBL333553
		CHEMBL47660
		CHEMBL3954082
		CHEMBL1760035
		CHEMBL3951002
		CHEMBL3971413
		CHEMBL205454
		CHEMBL77737
		CHEMBL303391
		CHEMBL3425657
		CHEMBL310740
		CHEMBL591910
		CHEMBL382073
		CHEMBL5209276
		CHEMBL3814447
		CHEMBL1201179
		CHEMBL2425088
		CHEMBL204625
		CHEMBL53690
		CHEMBL81664
		CHEMBL1221512
		CHEMBL13629
		CHEMBL1956893
		CHEMBL4748367
		CHEMBL233324
		CHEMBL3234740
		CHEMBL3671563
		CHEMBL473437
		CHEMBL1169856
		CHEMBL3671521
		CHEMBL5290971
		CHEMBL466174
		CHEMBL5170965
		CHEMBL4063890
		CHEMBL4554092
		CHEMBL2424676
		CHEMBL4092003
		CHEMBL1934623
		CHEMBL52418
		CHEMBL3893004
		CHEMBL3759754
		CHEMBL303872
		CHEMBL3932218
		CHEMBL383121
		CHEMBL4077064
		CHEMBL3961982
		CHEMBL593911
		CHEMBL379017
		CHEMBL1641991
		CHEMBL3355884
		CHEMBL2064379
		CHEMBL179521
		CHEMBL119923
		CHEMBL593905
		CHEMBL1928948
		CHEMBL438075
		CHEMBL3763701
		CHEMBL4224932
		CHEMBL4858409
		CHEMBL370808
		CHEMBL2347972
		CHEMBL4097141
		CHEMBL3604912
		CHEMBL3219505
		CHEMBL3740257
		CHEMBL98
		CHEMBL93051
		CHEMBL330224
		CHEMBL333082
		CHEMBL5078413
		CHEMBL398793
		CHEMBL312247
		CHEMBL437890
		CHEMBL2064386
		CHEMBL605957
		CHEMBL5203220
		CHEMBL3218347
		CHEMBL4743998
		CHEMBL470003
		CHEMBL3976855
		CHEMBL5275916
		CHEMBL3959038
		CHEMBL5181037
		CHEMBL5284924
		CHEMBL2426283
		CHEMBL1642655
		CHEMBL1272005
		CHEMBL4862351
		CHEMBL1821895
		CHEMBL193160
		CHEMBL3701238
		CHEMBL1645476
		CHEMBL2408830
		CHEMBL118205
		CHEMBL3942671
		CHEMBL56543
		CHEMBL4643903
		CHEMBL3604934
		CHEMBL3914441
		CHEMBL1277253
		CHEMBL3965625
		CHEMBL4167072
		CHEMBL3622621
		CHEMBL605161
		CHEMBL3928197
		CHEMBL4746688
		CHEMBL554053
		CHEMBL78184
		CHEMBL606466
		CHEMBL3936478
		CHEMBL3948072
		CHEMBL5087931
		CHEMBL4796150
		CHEMBL3671549
		CHEMBL31419
		CHEMBL3973190
		CHEMBL182397
		CHEMBL495733
		CHEMBL422335
		CHEMBL4761468
		CHEMBL4227091
		CHEMBL4105656
		CHEMBL4557993
		CHEMBL4468521
		CHEMBL15202
		CHEMBL190094
		CHEMBL162821
		CHEMBL3983732
		CHEMBL245868
		CHEMBL432903
		CHEMBL4741925
		CHEMBL3964932
		CHEMBL4082724
		CHEMBL4784777
		CHEMBL3325470
		CHEMBL4750343
		CHEMBL316064
		CHEMBL271410
		CHEMBL401443
		CHEMBL5277831
		CHEMBL485285
		CHEMBL3951885
		CHEMBL1956898
		CHEMBL296407
		CHEMBL3965391
		CHEMBL63356
		CHEMBL55979
		CHEMBL4217207
		CHEMBL3931858
		CHEMBL3890263
		CHEMBL2029698
		CHEMBL4087489
		CHEMBL4286733
		CHEMBL1812573
		CHEMBL112225
		CHEMBL2442319
		CHEMBL3984698
		CHEMBL2047017
		CHEMBL4128415
		CHEMBL397949
		CHEMBL4286871
		CHEMBL123322
		CHEMBL1641998
		CHEMBL4591897
		CHEMBL1910270
		CHEMBL2322329
		CHEMBL67057
		CHEMBL4551202
		CHEMBL69966
		CHEMBL598377
		CHEMBL3898863
		CHEMBL204085
		CHEMBL4071151
		CHEMBL282655
		CHEMBL2325098
		CHEMBL1828882
		CHEMBL357695
